ENSG_ID	logFC	Fold Change	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000166828	-1.58869262513568	-3.00776661172182	6.66414351177447	-2.20605335896657	0.0390980545836061	0.111833448404338	-4.311260813497
ENSG00000135569	0.147376915710063	1.10755390407535	5.29474369648929	2.20584057918895	0.0391150683531125	0.111866203021821	-4.31164803956778
ENSG00000155254	0.350368308765661	1.27488605422124	9.31184585800145	2.20572917668978	0.0391239787386091	0.111875776540903	-4.31185076579568
ENSG00000186842	0.231658826731735	1.17418426342184	4.53833388685667	2.20534919611566	0.0391543849332959	0.111946806282842	-4.31254219423991
ENSG00000115963	-0.548354577039722	-1.46241682837889	10.3088140823549	-2.20519476928625	0.0391667483911952	0.111966236943188	-4.31282317519443
ENSG00000143942	0.593183890665462	1.50857235203699	6.5292597139421	2.2050887046953	0.0391752420176878	0.111974600940551	-4.31301615376544
ENSG00000105929	0.659842367448682	1.57990998928804	4.36005957481675	2.20491593809695	0.0391890807237828	0.111998238231632	-4.31333048091363
ENSG00000260386	0.261197029371422	1.19847268600143	5.12097538297495	2.20478122823921	0.0391998741579165	0.112013166977815	-4.31357555829399
ENSG00000141200	0.146204772548135	1.10665441772267	4.03611187661192	2.20467496350632	0.0392083903812642	0.112021585304391	-4.31376887914396
ENSG00000160117	0.218294529808886	1.16335751965988	4.30001788599103	2.20430570534216	0.0392379964421688	0.112090248075065	-4.31444060397359
ENSG00000178971	0.392302392496198	1.31248632618638	7.41032988303216	2.20369997129926	0.0392866066448551	0.112213172309996	-4.31554235977254
ENSG00000119640	0.30632202374167	1.23655124053432	7.49484927009705	2.20341737488788	0.0393093038218233	0.112262057534889	-4.3160563054296
ENSG00000058804	0.624161620908686	1.54131487604595	7.4703264364605	2.20317264961442	0.0393289689853802	0.112302271086892	-4.31650134438143
ENSG00000127022	-0.415465377770357	-1.33372883567338	10.3718980207524	-2.20261059725955	0.0393741672959479	0.112415371733221	-4.31752333752824
